state,lat,long
AL,32.806671,-86.79113
AK,61.370716,-152.404
AZ,33.729759,-111.431
AR,34.969704,-92.3731
CA,36.116203,-119.681
CO,39.059811,-105.311
CT,41.597782,-72.7553
DE,39.318523,-75.5071
FL,27.766279,-81.6867
GA,33.040619,-83.6430
HI,21.094318,-157.498
ID,44.240459,-114.478
IL,40.349457,-88.9861
IN,39.849426,-86.2582
IA,42.011539,-93.2105
KS,38.5266,-96.726486
KY,37.66814,-84.67006
LA,31.169546,-91.8678
ME,44.693947,-69.3819
MD,39.063946,-76.8021
MA,42.230171,-71.5301
MI,43.326618,-84.5360
MN,45.694454,-93.9001
MS,32.741646,-89.6786
MO,38.456085,-92.2883
MT,46.921925,-110.454
NE,41.12537,-98.26808
NV,38.313515,-117.055
NH,43.452492,-71.5638
NJ,40.298904,-74.5210
NM,34.840515,-106.248
NY,42.165726,-74.9480
NC,35.630066,-79.8064
ND,47.528912,-99.7840
OH,40.388783,-82.7649
OK,35.565342,-96.9289
OR,44.572021,-122.070
PA,40.590752,-77.2097
RI,41.680893,-71.5117
SC,33.856892,-80.9450
SD,44.299782,-99.4388
TN,35.747845,-86.6923
TX,31.054487,-97.5634
UT,40.150032,-111.862
VT,44.045876,-72.7106
VA,37.769337,-78.1699
WA,47.400902,-121.490
WV,38.491226,-80.9544
WI,44.268543,-89.6165
WY,42.755966,-107.302
